warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:1050/20000 train_loss:2.4278 train_time:575847ms step_avg:548.43ms
step:1060/20000 train_loss:2.3083 train_time:581333ms step_avg:548.43ms
step:1070/20000 train_loss:2.2038 train_time:586817ms step_avg:548.43ms
step:1080/20000 train_loss:2.3640 train_time:592301ms step_avg:548.43ms
step:1090/20000 train_loss:2.3117 train_time:597784ms step_avg:548.43ms
step:1100/20000 train_loss:2.3204 train_time:603267ms step_avg:548.42ms
step:1110/20000 train_loss:2.2032 train_time:608752ms step_avg:548.43ms
step:1120/20000 train_loss:2.3437 train_time:614236ms step_avg:548.43ms
step:1130/20000 train_loss:2.3705 train_time:619721ms step_avg:548.43ms
step:1140/20000 train_loss:2.3658 train_time:625204ms step_avg:548.42ms
step:1150/20000 train_loss:2.2999 train_time:630729ms step_avg:548.46ms
step:1160/20000 train_loss:2.3474 train_time:636214ms step_avg:548.46ms
step:1170/20000 train_loss:2.2367 train_time:641698ms step_avg:548.46ms
step:1180/20000 train_loss:2.1665 train_time:647184ms step_avg:548.46ms
step:1190/20000 train_loss:2.3591 train_time:652669ms step_avg:548.46ms
step:1200/20000 train_loss:2.3609 train_time:658154ms step_avg:548.46ms
step:1210/20000 train_loss:2.3286 train_time:663638ms step_avg:548.46ms
step:1220/20000 train_loss:2.3232 train_time:669123ms step_avg:548.46ms
step:1230/20000 train_loss:2.3140 train_time:674607ms step_avg:548.46ms
step:1240/20000 train_loss:2.2769 train_time:680090ms step_avg:548.46ms
step:1250/20000 train_loss:2.2635 train_time:685574ms step_avg:548.46ms
step:1260/20000 train_loss:2.3513 train_time:691059ms step_avg:548.46ms
step:1270/20000 train_loss:2.2354 train_time:696543ms step_avg:548.46ms
step:1280/20000 train_loss:2.1561 train_time:702027ms step_avg:548.46ms
step:1290/20000 train_loss:2.3588 train_time:707511ms step_avg:548.46ms
step:1300/20000 train_loss:2.3549 train_time:712994ms step_avg:548.46ms
step:1310/20000 train_loss:2.2807 train_time:718479ms step_avg:548.46ms
step:1320/20000 train_loss:2.2483 train_time:723964ms step_avg:548.46ms
step:1330/20000 train_loss:2.3623 train_time:729448ms step_avg:548.46ms
step:1340/20000 train_loss:2.2770 train_time:734973ms step_avg:548.49ms
step:1350/20000 train_loss:2.2399 train_time:740458ms step_avg:548.49ms
step:1360/20000 train_loss:2.3113 train_time:745943ms step_avg:548.49ms
step:1370/20000 train_loss:2.2437 train_time:751428ms step_avg:548.49ms
step:1380/20000 train_loss:2.1884 train_time:756912ms step_avg:548.49ms
step:1390/20000 train_loss:2.2785 train_time:762396ms step_avg:548.49ms
step:1400/20000 train_loss:2.3691 train_time:767881ms step_avg:548.49ms
step:1410/20000 train_loss:2.2819 train_time:773365ms step_avg:548.49ms
step:1420/20000 train_loss:2.2190 train_time:778849ms step_avg:548.49ms
step:1430/20000 train_loss:2.2919 train_time:784333ms step_avg:548.48ms
step:1440/20000 train_loss:2.2439 train_time:789818ms step_avg:548.48ms
step:1450/20000 train_loss:2.2287 train_time:795302ms step_avg:548.48ms
step:1460/20000 train_loss:2.2758 train_time:800787ms step_avg:548.48ms
step:1470/20000 train_loss:2.2934 train_time:806271ms step_avg:548.48ms
step:1480/20000 train_loss:2.2700 train_time:811757ms step_avg:548.48ms
step:1490/20000 train_loss:2.3401 train_time:817241ms step_avg:548.48ms
step:1500/20000 train_loss:2.2904 train_time:822726ms step_avg:548.48ms
step:1510/20000 train_loss:2.2273 train_time:828211ms step_avg:548.48ms
step:1520/20000 train_loss:2.2665 train_time:833696ms step_avg:548.48ms
step:1530/20000 train_loss:2.2974 train_time:839180ms step_avg:548.48ms
step:1540/20000 train_loss:2.1899 train_time:844665ms step_avg:548.48ms
step:1550/20000 train_loss:2.2230 train_time:850150ms step_avg:548.48ms
step:1560/20000 train_loss:2.2482 train_time:855635ms step_avg:548.48ms
step:1570/20000 train_loss:2.2684 train_time:861118ms step_avg:548.48ms
step:1580/20000 train_loss:2.2531 train_time:866603ms step_avg:548.48ms
step:1590/20000 train_loss:2.3358 train_time:872087ms step_avg:548.48ms
step:1600/20000 train_loss:2.1580 train_time:877572ms step_avg:548.48ms
step:1610/20000 train_loss:2.3282 train_time:883056ms step_avg:548.48ms
step:1620/20000 train_loss:2.3003 train_time:888541ms step_avg:548.48ms
step:1630/20000 train_loss:2.2951 train_time:894025ms step_avg:548.48ms
step:1640/20000 train_loss:2.4548 train_time:899509ms step_avg:548.48ms
step:1650/20000 train_loss:2.2239 train_time:904993ms step_avg:548.48ms
step:1660/20000 train_loss:2.2344 train_time:910478ms step_avg:548.48ms
step:1670/20000 train_loss:2.2416 train_time:915962ms step_avg:548.48ms
step:1680/20000 train_loss:2.2212 train_time:921447ms step_avg:548.48ms
step:1690/20000 train_loss:2.2726 train_time:926930ms step_avg:548.48ms
step:1700/20000 train_loss:2.2104 train_time:932415ms step_avg:548.48ms
step:1710/20000 train_loss:2.2860 train_time:937900ms step_avg:548.48ms
step:1720/20000 train_loss:2.1900 train_time:943385ms step_avg:548.48ms
step:1730/20000 train_loss:2.2341 train_time:948870ms step_avg:548.48ms
step:1740/20000 train_loss:2.2788 train_time:954354ms step_avg:548.48ms
step:1750/20000 train_loss:2.2971 train_time:959839ms step_avg:548.48ms
step:1760/20000 train_loss:2.2997 train_time:965323ms step_avg:548.48ms
step:1770/20000 train_loss:2.2200 train_time:970808ms step_avg:548.48ms
step:1780/20000 train_loss:2.2301 train_time:976293ms step_avg:548.48ms
step:1790/20000 train_loss:2.2591 train_time:981778ms step_avg:548.48ms
step:1800/20000 train_loss:2.2654 train_time:987263ms step_avg:548.48ms
step:1810/20000 train_loss:2.2100 train_time:992748ms step_avg:548.48ms
step:1820/20000 train_loss:2.2291 train_time:998233ms step_avg:548.48ms
step:1830/20000 train_loss:2.2250 train_time:1003718ms step_avg:548.48ms
step:1840/20000 train_loss:2.2151 train_time:1009201ms step_avg:548.48ms
step:1850/20000 train_loss:2.2792 train_time:1014684ms step_avg:548.48ms
step:1860/20000 train_loss:2.2139 train_time:1020168ms step_avg:548.48ms
step:1870/20000 train_loss:2.2244 train_time:1025652ms step_avg:548.48ms
step:1880/20000 train_loss:2.2367 train_time:1031138ms step_avg:548.48ms
step:1890/20000 train_loss:2.1904 train_time:1036622ms step_avg:548.48ms
step:1900/20000 train_loss:2.2137 train_time:1042107ms step_avg:548.48ms
step:1910/20000 train_loss:2.3396 train_time:1047632ms step_avg:548.50ms
step:1920/20000 train_loss:2.1543 train_time:1053116ms step_avg:548.50ms
step:1930/20000 train_loss:2.2121 train_time:1058601ms step_avg:548.50ms
step:1940/20000 train_loss:2.1704 train_time:1064085ms step_avg:548.50ms
step:1950/20000 train_loss:2.2653 train_time:1069569ms step_avg:548.50ms
step:1960/20000 train_loss:2.1950 train_time:1075054ms step_avg:548.50ms
step:1970/20000 train_loss:2.2573 train_time:1080538ms step_avg:548.50ms
step:1980/20000 train_loss:2.2536 train_time:1086024ms step_avg:548.50ms
step:1990/20000 train_loss:2.2240 train_time:1091507ms step_avg:548.50ms
step:2000/20000 train_loss:2.2293 train_time:1096992ms step_avg:548.50ms
step:2000/20000 val_loss:2.2344 val_bpb:1.3233 train_time:1097081ms step_avg:548.54ms
step:2010/20000 train_loss:2.4604 train_time:1102477ms step_avg:548.50ms
step:2020/20000 train_loss:2.3178 train_time:1107960ms step_avg:548.49ms
step:2030/20000 train_loss:2.2017 train_time:1113444ms step_avg:548.49ms
step:2040/20000 train_loss:2.3194 train_time:1118928ms step_avg:548.49ms
step:2050/20000 train_loss:2.2914 train_time:1124412ms step_avg:548.49ms
step:2060/20000 train_loss:2.1815 train_time:1129897ms step_avg:548.49ms
step:2070/20000 train_loss:2.1575 train_time:1135383ms step_avg:548.49ms
step:2080/20000 train_loss:2.2346 train_time:1140869ms step_avg:548.49ms
step:2090/20000 train_loss:2.0387 train_time:1146353ms step_avg:548.49ms
step:2100/20000 train_loss:2.2394 train_time:1151876ms step_avg:548.51ms
step:2110/20000 train_loss:2.2836 train_time:1157361ms step_avg:548.51ms
step:2120/20000 train_loss:2.0279 train_time:1162846ms step_avg:548.51ms
step:2130/20000 train_loss:2.2704 train_time:1168331ms step_avg:548.51ms
step:2140/20000 train_loss:2.1681 train_time:1173814ms step_avg:548.51ms
step:2150/20000 train_loss:2.1487 train_time:1179298ms step_avg:548.51ms
step:2160/20000 train_loss:2.2603 train_time:1184782ms step_avg:548.51ms
step:2170/20000 train_loss:2.1584 train_time:1190266ms step_avg:548.51ms
step:2180/20000 train_loss:2.1193 train_time:1195750ms step_avg:548.51ms
step:2190/20000 train_loss:2.2698 train_time:1201236ms step_avg:548.51ms
step:2200/20000 train_loss:2.1886 train_time:1206720ms step_avg:548.51ms
step:2210/20000 train_loss:2.1123 train_time:1212204ms step_avg:548.51ms
step:2220/20000 train_loss:2.3165 train_time:1217688ms step_avg:548.51ms
step:2230/20000 train_loss:2.2461 train_time:1223173ms step_avg:548.51ms
step:2240/20000 train_loss:2.2280 train_time:1228657ms step_avg:548.51ms
step:2250/20000 train_loss:2.1342 train_time:1234141ms step_avg:548.51ms
step:2260/20000 train_loss:2.2171 train_time:1239626ms step_avg:548.51ms
step:2270/20000 train_loss:2.1983 train_time:1245110ms step_avg:548.51ms
step:2280/20000 train_loss:2.1899 train_time:1250594ms step_avg:548.51ms
step:2290/20000 train_loss:2.1677 train_time:1256078ms step_avg:548.51ms
step:2300/20000 train_loss:2.2903 train_time:1261562ms step_avg:548.51ms
step:2310/20000 train_loss:2.1770 train_time:1267045ms step_avg:548.50ms
step:2320/20000 train_loss:2.0336 train_time:1272530ms step_avg:548.50ms
step:2330/20000 train_loss:2.1829 train_time:1278015ms step_avg:548.50ms
step:2340/20000 train_loss:2.2729 train_time:1283500ms step_avg:548.50ms
step:2350/20000 train_loss:2.1303 train_time:1288985ms step_avg:548.50ms
